Activity Type,Date,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length
running,2019-02-23 10:41,11.51,568,1:13:29,145,180,176,194,6:23,3:56,83,84,0.89
running,2019-02-16 15:01,5.01,281,0:29:34,162,193,180,190,5:54,3:13,45,37,0.94
running,2019-02-04 16:51,8.02,425,0:44:35,163,186,180,194,5:34,3:49,12,81,1
running,2019-02-02 11:43,10.02,700,1:06:56,170,190,174,190,6:41,0:57,57,57,0.86
running,2019-01-09 19:15,10.02,404,0:54:28,143,165,182,198,5:26,1:53,25,25,1.01
running,2019-01-05 14:24,21.11,"1,010",2:17:56,147,177,174,196,6:32,2:04,118,119,0.88
running,2019-01-03 12:44,10.7,600,1:05:13,159,185,178,190,6:05,1:39,77,77,0.92
running,2018-12-29 13:33,21.16,"1,244",2:07:47,167,190,180,198,6:02,0:16,129,128,0.92
running,2018-12-24 15:20,11.01,551,1:03:11,155,188,178,190,5:44,3:29,36,36,0.97
running,2018-12-05 18:51,5.01,217,0:26:23,146,170,176,190,5:16,3:25,7,20,1.08
running,2018-10-21 8:55,22.2,"1,093",2:09:07,162,179,174,190,5:49,0:21,50,51,0.99
running,2018-10-08 17:12,10.01,522,0:56:32,171,192,176,196,5:39,4:24,27,29,1
running,2018-10-02 15:43,10.01,553,0:56:21,178,194,176,196,5:38,2:46,16,16,1.01
running,2018-09-20 20:08,7.01,337,0:40:15,157,189,174,188,5:44,3:39,10,12,1
running,2018-09-15 7:29,14.1,798,1:23:49,175,194,174,194,5:57,3:55,22,25,0.97
running,2018-09-11 20:22,10.01,548,0:56:49,175,195,176,190,5:40,2:41,21,24,1
running,2018-08-18 15:56,5.01,237,0:26:15,166,196,182,188,5:14,3:45,8,10,1.06
running,2018-08-12 7:31,10.02,577,0:57:57,178,197,174,188,5:47,3:57,75,74,1
running,2018-07-20 19:57,5.01,297,0:29:18,180,197,172,184,5:51,2:50,9,10,1
running,2018-07-17 20:49,10.01,556,0:58:12,172,191,174,190,5:49,1:36,26,31,0.98
running,2018-07-13 21:57,5.01,278,0:27:50,177,190,174,186,5:34,2:35,9,12,1.03
running,2018-07-10 21:26,5.01,255,0:29:11,159,182,176,188,5:50,1:21,14,10,0.98
running,2018-07-09 20:57,10,608,1:01:15,175,191,174,188,6:07,3:36,29,29,0.94
running,2018-07-06 17:40,10.01,621,1:01:15,173,193,174,192,6:07,4:31,14,14,0.93
running,2018-07-05 20:34,4.38,250,0:24:49,171,198,174,188,5:40,2:57,13,18,1.01
running,2018-06-23 19:56,7.01,357,0:38:31,159,194,176,194,5:30,0:46,22,19,1.03
running,2018-06-19 21:14,5.01,254,0:27:29,157,192,170,184,5:29,4:02,8,12,1.07
running,2018-05-23 22:16,4.01,138,0:19:59,131,180,180,188,4:59,3:03,11,9,1.11
running,2018-05-17 20:36,5.01,221,0:25:38,153,186,180,190,5:07,3:45,10,9,1.09
running,2018-05-15 20:09,5.01,211,0:25:01,147,177,180,190,4:59,2:28,11,10,1.11
running,2018-05-13 7:48,10.25,470,0:52:25,158,185,178,194,5:07,2:22,2,91,1.1
running,2018-05-06 8:31,22.8,"1,406",2:15:20,176,197,174,192,5:56,0:55,49,156,0.97
running,2018-04-25 12:05,2.73,113,0:15:42,131,143,170,180,5:45,3:10,50,50,1.02
running,2018-04-23 19:16,10.02,455,0:54:56,148,174,176,192,5:29,2:16,26,37,1.03
running,2018-04-20 19:30,21.22,"1,054",2:02:43,161,188,174,194,5:47,0:49,41,55,0.99
running,2018-04-17 20:28,5.01,251,0:25:46,167,189,170,186,5:08,1:31,10,10,1.15
running,2018-04-12 19:16,10.01,515,0:55:17,164,187,172,188,5:31,3:19,20,21,1.06
running,2018-04-07 10:00,8.07,420,0:49:36,154,174,166,190,6:09,3:30,73,73,0.97
running,2018-03-30 11:26,15.01,889,1:31:43,169,188,170,182,6:07,2:41,36,51,0.96
running,2018-03-15 20:19,5.03,236,0:26:07,160,178,172,186,5:12,1:50,9,10,1.12
running,2018-03-10 11:44,10.01,624,1:00:41,175,191,172,184,6:04,1:13,19,26,0.96
running,2018-02-25 16:25,10.03,590,0:59:31,167,184,170,180,5:56,1:08,18,25,0.99
running,2018-02-23 19:07,10.03,794,0:56:39,179,191,170,180,5:39,0:34,16,25,1.04
running,2018-02-15 18:08,10.01,771,0:59:08,165,185,168,178,5:54,1:43,17,26,1.01
running,2018-01-28 13:00,5.11,349,0:29:57,156,181,168,182,5:52,2:42,10,9,1.02
